JUGADOR;PARTIDO;LLAVE;EQUIPO 1;EQUIPO 2;GOLES 1;GOLES 2;RESULTADO
ML;76;BRASIL-JAPÓN;BRASIL;JAPÓN;4;2;BRASIL
ML;77;FRANCIA-SUECIA;FRANCIA;SUECIA;4;1;FRANCIA
ML;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;0;2;NORUEGA
ML;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;2;1;MÉXICO
ML;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
ML;81;USA-BOS Y HERZ;USA;BOS Y HERZ;2;0;USA
ML;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;1;2;SENEGAL
ML;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;1;0;PORTUGAL
ML;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;3;0;ESPAÑA
ML;85;SUIZA-ARGELIA;SUIZA;ARGELIA;1;0;SUIZA
ML;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;4;1;ARGENTINA
ML;87;COLOMBIA-GHANA;COLOMBIA;GHANA;3;0;COLOMBIA
ML;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;1;0;AUSTRALIA
